Name,Frequency
DUYGU,6617
HAMİYET,6617
GÜLESER,6564
EMRİYE,6553
FUNDA,6528
DURDANE,6471
NURHAYAT,6469
ÜNZİLE,6465
SAMİYE,6448
NAZİK,6438
PERİŞAN,6420
GAZAL,6354
MESUDE,6307
GÜNAY,6302
GÜNER,6284
EDA,6249
DEMET,6240
ÜLKÜ,6224
MÜRVET,6216
GÜNEŞ,6178
NAZAN,6156
GURBET,6084
SEVAL,6049
VASFİYE,6038
NADİYE,6027
EDİBE,6018
AYGÜL,5919
ÖZGÜL,5887
TENZİLE,5880
YEŞİM,5877
HİDAYET,5861
VİLDAN,5817
YADİGAR,5817
NURDAN,5815
RESMİYE,5736
MÜKERREM,5727
TELLİ,5727
SALİHE,5715
ATİKE,5694
MENŞURE,5663
EMİŞ,5651
GÜLÜMSER,5616
DURKADIN,5574
ASYA,5563
NERGİZ,5561
FATIMA,5548
PENPE,5521
HANDAN,5499
MERCAN,5473
GÜLSÜN,5457
BESRA,5453
MELTEM,5398
SAİDE,5380
PAMUK,5354
FATMANA,5274
İKBAL,5273
AİŞE,5200
NEVRİYE,5113
FADİLE,5102
AYHAN,5027
MECBURE,4926
ZÜHRE,4925
SARE,4906
MİHRİBAN,4879
SERVET,4868
ÖZGE,4865
ŞAKİRE,4853
NEDİME,4813
MUKADDER,4806
AYSER,4796
KAMER,4792
GÜLEY,4779
NEBİYE,4759
BESİ,4709
SADET,4709
SEVGÜL,4704
NAZİLE,4674
NAGİHAN,4660
GÜLFİDAN,4650
ŞÖHRET,4646
MÜYESSER,4634
ZENNURE,4609
GANİME,4594
SEVCAN,4588
ÜNZÜLE,4566
HAKİME,4561
NARİN,4556
ŞEHRİYE,4553
FATIM,4532
MEMNUNE,4452
ÜMRAN,4449
GÜLDEN,4436
İSMİHAN,4430
DİLŞAH,4423
RAİFE,4420
ESİN,4383
SARA,4362
LALE,4320
MÜMİNE,4318
HASRET,4317
MUHSİNE,4312
SATİYE,4294
NEZİHE,4287
ŞEMSE,4257
FERDANE,4238
ŞAHİDE,4226
NADİDE,4216
ADLE,4192
GÜLLER,4190
ŞULE,4187
FERİHA,4173
BELGİN,4147
MURADİYE,4139
SATİ,4135
MUALLA,4122
FAZİLET,4115
HACİRE,4091
SOLMAZ,4025
FADİK,4023
PEMBE,3987
KADIN,3974
PERVİN,3969
ZİNET,3935
ESENGÜL,3928
GÜRCÜ,3928
GÜLÜŞAN,3922
MÜJGAN,3894
SEBİLE,3894
BİRCAN,3885
AKİLE,3877
SAFİNAZ,3868
NAFİA,3851
SATU,3839
REFİYE,3810
AYŞEN,3802
MENEVŞE,3794
MÜLKİYE,3783
SEDEF,3765
AYŞAN,3750
OYA,3750
ZEYTUN,3743
AKGÜL,3711
MUZAFFER,3705
HASİNE,3688
HESNA,3670
ŞENEL,3659
ŞEYMA,3653
SACİDE,3623
DÜRİYE,3620
NESİME,3612
SELVİNAZ,3587
AYŞE FATMA,3546
NALAN,3517
AFİFE,3515
ŞENNUR,3501
ZÜHAL,3482
AYLİN,3471
FAZİLE,3460
NURSEN,3447
ZUHAL,3426
ŞEKER,3416
HAYAT,3389
HERDEM,3381
ZEYCAN,3369
SIRMA,3361
BESİME,3349
HADİYE,3310
SENİHA,3274
BEDİHA,3273
DURSUNE,3261
FADİMANA,3260
MÜRÜVET,3260
SÜMEYYE,3259
TEVRAT,3243
SUPHİYE,3236
ASLIHAN,3233
ELVAN,3222
ŞEVKİYE,3218
BERRİN,3204
NAZİKE,3201
SONA,3181
TÜLİN,3168
SALİME,3161
ÜLKER,3149
GÜLCİHAN,3129
ABİDE,3128
CANSU,3128
YOSMA,3128
ZİNİ,3109
HİCRAN,3101
DURİYE,3082
RASİME,3077
ZOZAN,3034
BERNA,3028
BESEY,3021
GÜLLİ,3003
ARZI,2992
İFAKAT,2985
İMRAN,2978
ZERİFE,2971
FINDIK,2961
SÜNDÜZ,2954
HACERE,2952
GÜLZADE,2950
NEZİRE,2948
BESNA,2945
GÜLLİZAR,2939
ALEV,2925
ZÜLBİYE,2923
SUNAY,2917
BAKİYE,2916
MEVLUDE,2860
GÜZİDE,2859
KATİBE,2857
SAYİME,2849
DÖNÜŞ,2842
HAVANA,2841
ÜLVİYE,2818
KAFİYE,2813
İLKAY,2808
ZERRİN,2802
BİLGE,2801
KUMRİ,2780
AYCAN,2778
TUĞÇE,2774
EMSAL,2764
TEVHİDE,2705
ÜMMÜGÜL,2700
GÜLDEREN,2692
HANİ,2687
EMİRE,2683
BELGÜZAR,2680
MUTEBER,2672
BİRSEL,2662
GİZEM,2647
CİHAN,2640
ULVİYE,2627
GÜLŞAN,2621
GÜLNUR,2620
AKKIZ,2608
MEYREM,2605
LUTFİYE,2601
GÜNGÖR,2597
DELAL,2589
MÜNÜRE,2581
GÜLFER,2576
FETİYE,2575
ADEVİYE,2570
KADİFE,2563
AYŞE GÜL,2560
EYLEM,2557
SÜMEYRA,2556
HİLMİYE,2544
MUHTEBER,2539
SİTTİ,2530
GONCA,2513
NURDANE,2509
FELEK,2507
SEKİNE,2500
ŞAHİNDE,2483
FATİ,2459
PERİZADE,2454
SEMAHAT,2454
ERGÜL,2450
MÜRŞİDE,2425
UMMUHAN,2418
GÜLENDAM,2407
NEVİM,2405
MAHBUP,2401
JALE,2394
ANAKIZ,2391
DİDEM,2388
BANU,2386
SEVDİYE,2360
PERİ,2356
KUMRU,2353
İMMİHAN,2341
MAHİ,2337
MUHBET,2328
HANİM,2302
MENİCE,2300
GÖZDE,2296
BERİVAN,2287
FADIMA,2285
ZAİDE,2277
ÖZDEN,2270
İSMAHAN,2262
GÜLKIZ,2259
PEMPE,2259
ASİYA,2257
MEHRİ,2242
EMİR AYŞE,2241
ŞERİF,2232
ŞADUMAN,2231
FATOŞ,2230
MAHİDE,2226
ZEMZEM,2226
YAZGÜL,2222
MAHMURE,2218
DİLAN,2204
İNAYET,2201
REŞİDE,2197
AYŞE DUDU,2192
MUHTEREM,2191
ÜMMEHAN,2188
ŞEYDA,2177
AYŞENUR,2168
NASİBE,2168
SULTANİ,2167
SEMİYE,2158
RAHMİYE,2150
SEÇİL,2137
UMAHAN,2135
NUR,2132
MELİHAT,2126
ZAHRA,2122
YAĞMUR,2118
FAİKA,2108
MÜBERRA,2108
CELİLE,2085
KANİYE,2074
RİHAN,2073
ESEN,2067
MAŞALLAH,2064
İKRAM,2054
ŞEKERNAZ,2048
ÜMMÜHANİ,2046
AMİNE,2045
ENİSE,2043
İNSAF,2038
ZÜLFİNAZ,2037
MEHRİBAN,2023
ŞERMİN,2022
MAHİNUR,2016
ANŞA,2015
KERİMAN,2015
ÜLFET,2003
FERDA,2001
HAZİME,1998
İSMİGÜL,1997
GÜLPAŞA,1983
NURE,1982
NAZİYE,1975
FİTNET,1965
RAFİYE,1964
ZÜMRÜT,1961
SATIA,1958
SERVER,1941
ELVEDA,1940
NETİCE,1938
BUKET,1930
HORİ,1921
SURİYE,1913
ÜMÜŞ,1906
SENİYE,1902
ŞAHSENEM,1901
GÜLEN,1892
PELİN,1884
KİYMET,1883
BESER,1877
HÜRİYE,1876
MACİDE,1865
YURDANUR,1857
EMETULLAH,1847
MENSURE,1842
ZÜMRETE,1842
ADUL,1838
MÜSLÜME,1837
SERMİN,1831
FAİZE,1827
MUHLİSE,1826
KADİRİYE,1823
FATMA ZEHRA,1816
LEYLİ,1816
MÜNİSE,1814
ZAHİRE,1812
DAMLA,1808
MAHİYE,1798
İFFET,1798
FERİHAN,1797
FEHMİYE,1795
GEVRİ,1791
FEZİLE,1777
SEHERNAZ,1760
ŞAZİMET,1760
GÜLSÜME,1758
MEMDUHA,1758
TAYYİBE,1756
SEVİYE,1740
MEKİYE,1739
KAMURAN,1736
ZAKİRE,1726
ZÜLFİ,1713
SELBİ,1712
SEYİDE,1711
MAVİŞ,1710
PERUZE,1710
İMİHAN,1710
EZGİ,1705
KEBİRE,1705
GÖZEL,1693
IRAZ,1684
RÜVEYDE,1680
TÜRKİYE,1680
GÜLCEMAL,1669
SAFURE,1655
MUNİSE,1653
HÜRRİYET,1652
NEBİLE,1652
MİHRİYE,1644
MÜFİDE,1637
İSMİNAZ,1633
HALİM,1628
NURİ,1628
MÜMÜNE,1627
TAMAM,1623
İSMİ,1621
HÖRÜ,1617
BELKIS,1610
ŞEHNAZ,1609
NAZİ,1607
MUHABBET,1602
FİKRET,1599
CAVİDE,1592
HÜRMÜZ,1588
SONAY,1586
HANEY,1566
SARAY,1565
LAMİA,1564
SÜLBİYE,1560
HATEM,1556
BAĞDAT,1554
AYŞİ,1553
MAHBUBE,1551
NURCİHAN,1549
MÜBECCEL,1545
HÜMEYRA,1541
RESMİGÜL,1523
ÜMMİYE,1522
FADİM,1520
YADİKAR,1520
BİLGİ,1518
SÜNBÜL,1512
FERHAN,1509
NAVRUZ,1509
ÜMMÜ GÜLSÜM,1505
HEDLE,1501
NURA,1501
MAHİRE,1500
VATHA,1498
ŞAHA,1495
AVAŞ,1490
FELEKNAZ,1488
ZERNİŞAN,1478
GÜLSEVİM,1475
İLHAN,1474
MÜSLİME,1469
TAYBET,1469
ZÜLFÜ,1466
NİLAY,1461
SERFİNAZ,1456
AFET,1454
BELMA,1447
AMŞE,1445
ZÜHRA,1441
SELİN,1437
ÖMÜR,1437
AKKADIN,1435
AYŞA,1433
MÜCELLA,1425
ÜMİT,1423
NADİME,1422
NEBAT,1422
HÜSNÜYE,1417
YAŞARİYE,1417
SUSAN,1416
GÜLSEHER,1412
MELEHAT,1410
NEFİYE,1410
SEZEN,1408
HAMİYE,1407
ŞAHİNAZ,1407
MAKSUDE,1405
EMETİ,1397
REFİA,1393
RUHİYE,1389
HACİCE,1388
NİHAYET,1386
SALİYE,1385
NEFİZE,1377
AYŞE NUR,1370
ISMAHAN,1363
YÜCEL,1362
IŞIL,1360
ZİYNET,1355
İMHAN,1349
GÜLE,1347
GAZALİ,1341
RUZİYE,1341
ŞEHRİNAZ,1341
NEDRET,1329
İCLAL,1329
MEHDİYE,1327
FEDİME,1323
ANTİKA,1321
AYSEN,1316
